TransactionID,CustomerID,Spend,CompetitorPrice,LGPrice,Age,Income,Region,Preference
36,882,155.83,197.88,237.96,62,36228,South,Brand
37,1848,211.78,186.07,208.15,41,35507,West,Price
38,1976,203.78,155.55,207.18,50,41353,North,Price
39,4269,296.25,215.93,169.74,56,70237,North,Promotion
40,4569,186.34,218.56,199.49,63,71546,West,Brand
41,2965,224.35,182.01,248.9,59,87461,East,Brand
42,3064,140.0,215.94,206.44,53,25649,North,Promotion
43,3129,164.07,238.02,153.5,45,52764,North,Price
44,498,168.94,184.77,202.53,29,69182,West,Promotion
45,2217,125.88,221.97,162.47,39,58810,South,Brand
46,989,202.37,234.55,249.66,53,63082,West,Promotion
47,2609,212.58,193.77,203.65,38,40149,West,Brand
48,2476,206.37,165.39,228.06,53,43305,South,Brand
49,4515,119.44,153.93,147.27,39,66600,East,Price
50,1371,151.72,223.98,188.67,62,44553,East,Price
51,3589,180.27,202.27,211.59,52,32136,West,Brand
52,2503,141.65,167.59,153.4,48,34611,East,Brand
53,4810,97.96,151.19,147.1,29,57028,South,Brand
54,179,247.9,192.67,250.01,50,8787,South,Price
55,1930,275.51,192.94,153.62,23,6286,North,Promotion
56,2549,257.22,247.26,202.7,54,37734,North,Brand
57,4835,214.6,163.98,253.38,49,59148,South,Price
58,112,170.32,168.66,141.6,58,55530,North,Promotion
59,3220,308.39,245.34,242.45,47,37089,West,Promotion
60,715,253.59,159.27,164.99,42,40889,North,Promotion
61,1402,158.91,231.69,251.87,60,70348,East,Price
62,2925,275.48,232.89,199.61,61,38892,East,Promotion
63,1382,208.26,172.02,157.47,46,51197,South,Promotion
64,3128,266.01,186.18,201.64,52,62308,East,Brand
65,4909,279.7,241.18,215.48,18,72575,North,Brand
66,3012,166.9,213.72,213.64,33,46073,East,Promotion
67,1209,193.27,234.04,228.52,37,27514,South,Promotion
68,3126,212.39,232.05,258.84,43,48205,North,Promotion
69,37,204.63,201.58,179.89,20,50652,South,Brand
70,1829,148.58,156.41,214.62,25,61136,West,Promotion
71,3061,205.61,203.91,147.64,41,59396,West,Promotion
72,3342,185.37,152.77,202.71,44,72993,East,Price
73,3942,186.18,182.68,256.99,64,35951,West,Price
74,810,121.28,162.75,193.99,27,57131,South,Price
75,3073,188.36,192.05,231.91,35,50437,East,Price
76,4119,307.15,159.29,186.6,30,61239,East,Brand
77,1527,222.79,190.17,254.55,61,40837,North,Promotion
78,3520,184.19,153.38,186.28,55,45082,South,Price
79,4892,226.91,181.75,237.5,28,34211,North,Brand
80,496,270.43,189.77,234.25,37,56381,East,Brand
81,4996,164.04,171.49,158.07,33,33300,East,Brand
82,425,284.31,245.95,241.66,30,48661,South,Price
83,2748,146.58,179.06,224.77,61,33378,North,Promotion
84,2066,180.49,210.99,160.36,41,35377,South,Brand
85,1983,176.15,177.91,169.66,59,28345,West,Promotion
86,1469,260.88,229.57,180.13,31,47369,South,Brand
87,3801,144.68,218.52,141.31,58,69028,East,Brand
88,1234,253.18,228.71,211.03,45,38411,West,Brand
89,1798,190.78,166.32,221.32,46,56194,East,Promotion
90,565,206.92,185.11,183.94,53,46764,North,Brand
91,3020,259.27,170.24,179.19,27,31777,East,Price
92,1305,224.09,220.52,228.44,37,50339,South,Promotion
93,133,263.86,217.91,178.42,31,83281,West,Price
94,449,252.18,247.52,151.1,22,34421,East,Price
95,1831,330.98,240.23,205.43,35,53250,West,Brand
96,2159,257.66,243.68,234.91,32,48861,North,Promotion
97,3627,206.15,207.95,211.55,29,43351,North,Promotion
98,850,203.06,164.86,224.31,58,49515,East,Price
99,3963,286.79,243.32,233.47,59,55786,North,Price
100,1481,216.07,237.32,251.9,35,85236,West,Brand
101,901,226.4,191.37,237.54,56,38302,West,Brand
102,4855,261.0,205.3,193.19,54,27009,West,Price
103,1540,184.9,159.85,174.43,62,26853,East,Promotion
104,1900,157.69,187.02,141.19,64,46194,East,Brand
105,2945,231.07,230.38,185.67,53,47358,West,Promotion
106,4958,178.1,247.69,164.96,25,59942,North,Promotion
107,3245,278.52,198.48,218.57,31,52048,West,Price
108,515,80.27,178.35,186.82,48,34247,West,Promotion
109,1592,177.69,227.44,236.4,20,51894,North,Brand
110,84,218.07,235.46,259.48,35,52721,North,Price
111,3743,171.53,213.61,234.67,59,16208,East,Brand
112,4894,276.62,198.26,232.35,33,53820,North,Price
113,2128,217.01,239.35,195.41,30,59296,West,Price
114,1602,172.78,217.62,186.83,54,60979,East,Brand
115,4618,218.82,150.1,151.76,35,53674,South,Brand
116,1223,135.45,247.19,212.97,62,32309,West,Promotion
117,4330,232.58,221.36,178.23,18,68359,North,Brand
118,1843,272.82,198.26,198.65,55,56158,West,Price
119,2292,199.16,151.53,202.69,52,96693,South,Promotion
120,1590,206.26,154.54,204.43,34,27092,North,Brand
121,2897,150.1,246.8,186.34,46,46791,West,Promotion
122,4489,168.57,229.62,186.15,19,61211,West,Promotion
123,9,259.12,159.69,151.69,40,55514,South,Brand
124,4709,200.63,224.8,184.86,23,84331,West,Price
125,715,317.98,167.27,234.45,42,40889,North,Promotion
126,1928,235.17,188.81,179.17,61,62566,South,Price
127,110,149.3,200.62,193.95,59,62212,East,Brand
128,4930,321.5,240.41,194.45,37,43733,South,Brand
129,266,134.55,155.2,231.73,18,48970,East,Brand
130,3224,186.79,163.44,184.15,57,56049,East,Price
131,955,214.67,227.2,160.38,48,44599,West,Promotion
132,1350,221.68,249.61,144.16,55,53095,East,Price
133,1575,175.05,227.63,231.56,51,81397,North,Price
134,2224,206.53,227.77,194.36,46,47851,South,Price
135,3832,272.68,203.0,193.36,32,60438,North,Promotion
136,3256,273.39,184.44,178.75,52,81579,South,Promotion
137,1059,297.17,164.15,146.34,50,53386,East,Brand
138,1958,162.56,168.22,228.9,58,42930,West,Promotion
139,4945,220.68,194.34,233.07,22,66555,East,Brand
140,3148,228.69,246.36,253.01,45,35321,East,Promotion
141,2520,114.66,210.72,191.34,42,33900,South,Promotion
142,3654,190.46,236.62,158.17,62,27512,South,Promotion
143,2571,233.59,174.44,188.57,30,27942,West,Price
144,2928,198.33,189.27,186.36,39,54476,North,Price
145,3888,171.52,223.14,205.23,53,40665,North,Brand
146,888,224.46,156.84,161.8,40,27808,West,Brand
147,745,266.29,177.56,183.02,55,42835,East,Promotion
148,3515,215.38,206.44,251.9,60,67989,East,Brand
149,2931,97.48,219.96,241.12,52,81270,North,Price
150,2680,265.36,193.58,154.33,29,50347,West,Brand
151,176,141.18,236.65,145.32,45,18189,West,Promotion
152,566,146.06,208.44,209.12,29,36905,South,Promotion
153,3218,217.69,215.12,243.54,52,51229,South,Promotion
154,4358,218.36,177.06,205.8,36,51756,North,Promotion
155,4627,172.14,182.78,179.48,41,85539,South,Price
156,1395,241.46,154.05,258.48,22,27496,North,Price
157,1221,203.6,157.5,140.06,47,64404,East,Price
158,948,127.19,246.37,149.86,26,37615,South,Price
159,585,153.85,205.05,145.36,33,71277,West,Price
160,2863,188.91,162.17,151.17,28,54096,South,Promotion
161,1621,205.7,181.14,202.77,51,41066,South,Promotion
162,3356,176.49,213.43,174.33,55,60836,South,Brand
163,2350,111.14,235.84,254.98,44,33177,East,Brand
164,3192,168.22,156.58,234.04,55,66222,North,Brand
165,3208,236.26,195.39,164.54,23,56090,East,Brand
166,2577,206.46,156.86,182.41,54,65403,East,Brand
167,532,249.43,196.22,244.37,28,31176,North,Price
168,1232,242.34,222.2,160.6,64,30008,West,Price
169,1994,116.5,227.36,224.21,31,42963,North,Promotion
170,1698,169.9,177.45,207.53,23,55228,South,Brand
171,3371,237.48,176.73,206.17,58,30824,South,Promotion
172,1546,227.93,248.81,215.39,42,53160,South,Brand
173,3166,227.66,161.65,184.49,61,53124,West,Price
174,1438,252.82,214.54,215.3,41,54674,South,Promotion
175,371,266.64,223.64,230.48,34,61627,North,Promotion
176,4505,115.81,227.34,202.94,46,85511,East,Price
177,617,181.94,216.61,193.5,55,26765,North,Price
178,4167,235.31,191.53,149.71,49,29751,South,Price
179,4015,242.01,161.83,142.35,37,58524,North,Promotion
180,4180,289.93,207.14,176.8,31,37776,North,Price
181,2257,277.25,208.92,143.64,62,48149,East,Brand
182,4355,260.06,215.24,255.0,49,73040,West,Brand
183,3311,179.07,242.75,142.05,55,82678,South,Price
184,932,245.43,193.9,254.14,43,55550,West,Price
185,2330,302.08,245.86,220.13,56,85915,South,Brand
186,394,278.05,171.49,152.82,40,58697,South,Promotion
187,2466,221.91,175.46,170.51,52,30896,East,Price
188,3278,275.48,162.63,257.35,38,55893,North,Brand
189,1930,214.34,157.51,140.51,23,6286,North,Promotion
190,626,214.92,196.4,142.73,62,26814,North,Price
191,4658,192.08,213.45,246.19,40,41670,North,Promotion
192,2880,134.01,189.28,199.38,33,39140,East,Promotion
193,3167,251.11,205.2,148.28,28,55405,South,Brand
194,3423,198.43,190.14,237.33,45,37757,North,Promotion
195,2110,210.72,154.49,189.17,63,46283,East,Promotion
196,1166,229.04,167.42,192.72,63,52366,West,Brand
197,2782,174.61,176.8,242.23,27,56425,South,Price
198,1892,247.6,213.49,143.3,48,69369,East,Price
199,3183,196.18,236.5,245.98,26,16009,West,Price
200,1640,198.19,168.19,232.85,20,50409,East,Brand
201,782,44.72,172.62,163.7,32,59973,North,Price
202,4693,211.26,221.51,187.77,26,55720,West,Brand
203,2057,157.02,245.61,209.83,52,60079,East,Price
204,2324,185.76,185.3,167.75,36,50217,South,Price
205,2275,165.11,182.02,171.52,43,32030,South,Price
206,2234,168.3,186.13,202.01,19,28998,West,Price
207,2639,192.4,167.0,211.41,22,45057,West,Promotion
208,3288,228.1,199.22,183.58,52,57781,East,Brand
209,2481,278.45,204.35,254.88,33,44465,North,Promotion
210,2617,211.5,165.73,159.35,34,66262,East,Price
211,356,180.7,172.39,180.39,59,45007,West,Brand
212,4488,187.62,170.21,232.37,64,64867,South,Price
213,4675,251.09,210.58,214.66,38,63974,South,Promotion
214,3347,224.94,221.16,153.45,46,44553,East,Price
215,3523,140.68,180.56,173.97,51,62439,East,Promotion
216,2468,168.42,226.54,199.11,31,35072,West,Brand
217,164,204.21,240.92,194.24,45,68434,South,Brand
218,3635,192.05,201.83,186.78,23,36111,North,Brand
219,4734,173.23,240.97,141.14,45,59463,South,Promotion
220,3664,191.33,212.63,169.96,36,43597,North,Promotion
221,3255,214.9,169.55,163.67,28,37811,West,Brand
222,3382,220.09,175.69,144.45,28,26782,East,Price
223,2065,202.94,209.02,186.67,37,50227,North,Brand
224,4266,246.94,172.51,149.07,27,49226,North,Brand
225,3985,223.38,150.37,151.07,26,57097,North,Price
226,3888,149.9,175.99,252.74,53,40665,North,Brand
227,340,183.92,155.15,214.29,52,19250,North,Promotion
228,4822,193.87,239.77,200.09,37,43949,South,Brand
229,3782,192.99,218.67,169.34,31,28895,East,Price
230,3591,161.26,152.95,170.95,64,36062,East,Promotion
231,1934,173.41,154.84,179.35,54,7515,East,Brand
232,1646,245.94,152.88,149.02,62,50712,West,Brand
233,4229,151.43,229.67,222.03,62,63184,West,Price
234,2688,186.15,228.59,174.3,49,52240,West,Promotion
235,4919,263.36,223.77,251.49,24,90828,South,Price
236,2127,197.21,165.04,181.15,42,58817,East,Price
237,4442,320.35,248.66,238.54,27,10222,North,Price
238,4705,281.6,234.54,166.93,57,65783,East,Price
239,639,92.22,214.29,257.66,20,35529,North,Promotion
240,1225,146.29,218.01,182.69,47,60072,North,Brand
241,3706,203.88,188.39,253.93,54,48525,West,Price
242,3911,184.93,207.06,238.59,45,66343,South,Price
243,4246,235.91,184.48,164.45,41,67567,East,Brand
244,1550,233.01,221.44,250.15,26,65531,South,Price
245,4146,125.08,183.58,150.8,38,38677,North,Price
246,1506,258.83,245.07,162.87,35,41929,North,Price
247,4431,296.8,246.78,206.06,24,40212,West,Promotion
248,1376,132.12,175.31,245.12,63,39527,North,Promotion
249,668,181.28,232.35,187.83,36,77107,South,Brand
250,2375,184.03,160.12,159.84,22,35096,West,Brand
251,4091,262.69,175.67,143.61,23,73087,South,Brand
252,1016,275.78,176.36,231.17,48,75547,North,Brand
253,336,178.44,212.28,219.68,47,52354,West,Brand
254,4762,177.11,241.84,203.37,24,44491,South,Promotion
255,81,250.83,179.68,160.23,38,38450,South,Promotion
256,2135,189.59,192.52,163.97,51,37904,West,Price
257,1800,211.39,189.0,214.82,32,55691,South,Brand
258,258,247.97,188.03,259.87,48,34151,West,Brand
259,185,236.63,207.63,156.14,56,52118,West,Brand
260,123,214.56,217.33,252.95,52,64271,East,Promotion
261,4701,134.51,189.79,252.42,64,44367,North,Price
262,5000,230.11,230.65,245.09,36,45504,North,Brand
263,3515,249.67,208.8,204.34,60,67989,East,Brand
264,1395,237.72,177.17,195.23,22,27496,North,Price
265,2353,131.36,187.16,148.37,25,47922,South,Promotion
266,3220,241.03,246.37,148.21,47,37089,West,Promotion
267,1309,164.71,210.26,163.07,47,48813,East,Brand
268,3945,79.89,200.07,198.02,29,53858,South,Price
269,1942,192.28,174.71,195.54,32,49481,West,Promotion
270,491,142.7,203.31,180.37,33,60690,South,Promotion
271,1055,199.9,158.16,228.67,55,54831,West,Price
272,702,137.62,190.01,148.78,26,51892,East,Price
273,2935,189.44,236.64,241.08,33,61796,East,Brand
274,4696,118.81,193.19,143.45,54,58610,West,Promotion
275,1135,166.22,234.19,250.85,30,40785,East,Brand
276,80,216.82,154.0,229.5,57,44721,West,Brand
277,836,288.49,163.86,215.54,44,71765,North,Promotion
278,652,186.01,223.35,158.64,42,18068,East,Promotion
279,417,199.33,224.44,177.05,23,57368,North,Promotion
280,3681,239.91,214.59,198.69,38,49634,West,Promotion
281,3867,220.27,242.13,231.92,29,82145,North,Brand
282,746,222.81,202.79,164.75,20,31172,East,Price
283,2003,234.94,222.67,240.28,45,64329,North,Brand
284,240,180.96,177.16,236.12,36,32784,North,Price
285,2894,160.63,211.42,214.36,63,56884,West,Brand
286,1945,213.95,227.35,221.5,29,46270,East,Price
287,856,83.49,219.76,165.73,43,38648,South,Promotion
288,3516,97.33,230.89,173.3,64,49515,East,Brand
289,2647,274.77,190.31,223.83,32,52513,West,Price
290,3195,256.77,178.27,146.94,52,48946,South,Promotion
291,4516,166.02,177.56,197.69,53,15880,North,Brand
292,4805,138.49,230.4,198.1,19,76172,East,Price
293,2599,227.12,235.41,179.0,58,46140,North,Price
294,1354,235.16,170.83,191.49,42,46444,West,Price
295,2036,155.39,187.19,252.94,60,57437,West,Brand
296,2881,193.67,242.05,246.18,22,40334,West,Promotion
297,680,109.89,151.38,167.88,28,41540,West,Brand
298,487,178.05,184.76,255.68,62,84224,North,Promotion
299,3621,188.2,211.38,206.11,45,42247,South,Promotion
300,3651,208.13,164.71,150.32,64,82187,South,Promotion
301,4719,310.78,218.54,196.05,59,23087,East,Price
302,1439,141.05,179.25,187.78,36,27216,East,Brand
303,4315,275.11,244.28,254.87,38,80730,South,Promotion
304,1485,170.91,157.46,223.66,31,55936,South,Brand
305,691,165.84,236.67,233.72,45,57583,North,Price
306,1013,252.22,210.09,221.02,55,47278,East,Price
307,4543,165.09,211.92,187.22,52,21239,North,Brand
308,2348,155.46,151.58,156.83,22,45930,South,Promotion
309,3709,230.42,240.59,196.52,25,55468,North,Brand
310,4471,223.62,234.94,183.72,55,67806,North,Promotion
311,1923,173.53,194.86,148.01,53,66441,South,Brand
312,638,289.84,198.47,186.13,56,68450,North,Promotion
313,3009,174.92,179.04,206.14,19,55918,North,Promotion
314,2234,120.34,182.91,208.34,19,28998,West,Price
315,2126,141.33,197.73,259.43,58,32204,East,Price
316,3458,139.77,157.84,185.89,29,27012,West,Price
317,4290,181.24,157.8,176.93,31,45531,West,Brand
318,3175,271.52,231.65,213.45,51,13944,East,Promotion
319,3689,109.19,187.77,221.46,47,36457,South,Brand
320,1400,285.01,247.96,146.55,36,53646,East,Brand
321,2335,164.43,158.72,144.86,54,57486,South,Promotion
322,1506,170.55,243.7,170.93,35,41929,North,Price
323,250,159.64,215.02,165.85,56,76210,West,Price
324,536,173.06,180.79,247.54,38,93026,South,Promotion
325,3533,186.69,176.62,248.45,20,38660,East,Brand
326,3550,192.41,245.55,211.89,54,16920,East,Promotion
327,458,213.35,183.9,246.69,46,39580,West,Promotion
328,2739,94.0,202.63,149.84,19,61334,East,Brand
329,3370,191.93,245.49,180.17,54,38437,East,Promotion
330,4136,223.47,170.69,172.67,61,41524,North,Price
331,3697,195.75,168.24,151.53,47,44514,West,Promotion
332,3412,185.53,171.56,209.69,35,37445,West,Price
333,4070,173.69,173.57,209.57,63,62330,West,Price
334,3388,252.21,220.5,196.1,61,36932,East,Price
335,3186,223.07,167.25,248.71,25,60732,East,Promotion
336,3239,188.53,154.0,204.19,62,57393,South,Price
337,261,225.35,221.97,205.94,52,55287,East,Promotion
338,1248,245.77,246.35,140.3,51,58557,East,Promotion
339,3334,130.99,204.55,193.89,23,62259,West,Brand
340,3323,224.65,186.35,161.49,39,20516,North,Promotion
341,2574,157.45,153.09,202.14,62,51184,West,Promotion
342,126,264.14,207.06,213.24,39,36133,North,Promotion
343,1230,151.79,182.79,222.84,18,55824,West,Price
344,3212,198.25,214.99,221.52,51,21898,East,Promotion
345,3134,213.32,245.56,173.84,36,41130,East,Price
346,1307,106.76,152.24,202.88,54,35225,East,Brand
347,2102,95.33,219.07,208.82,43,59784,East,Brand
348,136,178.62,217.31,241.57,22,27250,East,Promotion
349,2378,283.54,209.32,177.35,48,33961,North,Promotion
350,1460,190.43,222.73,158.64,27,61907,East,Promotion
351,4232,223.65,187.42,219.73,58,43102,North,Price
352,813,43.74,162.3,231.54,41,69192,North,Price
353,852,241.51,150.44,255.41,43,51846,East,Promotion
354,1745,224.44,190.0,195.94,51,42575,East,Price
355,1939,232.75,230.55,228.42,27,59559,North,Promotion
356,871,201.96,209.08,200.54,52,37520,West,Brand
357,635,136.01,164.76,156.12,27,60591,East,Brand
358,669,162.1,181.83,250.1,37,24760,South,Price
359,1294,154.43,216.32,215.06,19,55409,West,Promotion
360,3089,227.14,242.58,143.7,45,45727,North,Promotion
361,269,188.28,235.88,193.93,54,63670,South,Brand
362,861,241.33,213.22,167.7,64,53436,West,Brand
363,482,231.08,171.84,246.51,27,63405,East,Brand
364,3291,287.74,236.94,196.99,41,67289,East,Promotion
365,3391,205.32,242.07,195.56,25,32849,North,Price
366,1262,188.66,240.93,178.07,54,21655,South,Price
367,2333,204.67,206.62,145.36,53,74358,South,Brand
368,103,66.49,237.13,173.73,28,63730,South,Brand
369,3795,181.29,229.32,206.82,48,68409,East,Price
370,4888,230.39,211.9,179.2,47,48470,West,Promotion
371,4335,184.99,248.21,146.62,51,61495,South,Price
372,2693,187.29,174.43,234.02,32,21608,South,Brand
373,3672,184.58,212.41,206.83,33,50967,North,Brand
374,882,278.83,152.65,162.97,62,36228,South,Brand
375,2236,213.2,195.09,206.27,21,46915,South,Promotion
376,4984,191.72,233.36,223.08,39,47058,North,Price
377,3035,320.65,173.51,219.05,45,55075,South,Brand
378,4890,133.79,225.17,217.01,27,40087,North,Brand
379,2578,165.31,226.14,158.86,62,58993,South,Price
380,676,145.26,213.47,144.05,18,67858,West,Brand
381,2440,160.9,239.35,158.17,54,51852,East,Brand
382,1682,261.71,194.93,204.69,46,28509,South,Brand
383,1277,149.06,170.88,208.37,21,97280,North,Promotion
384,4768,200.79,215.16,220.5,56,69116,East,Brand
385,3248,222.95,244.87,194.23,57,62143,South,Brand
386,4935,233.82,213.01,254.13,45,18974,North,Promotion
387,3649,166.29,237.87,190.96,45,18843,North,Brand
388,1313,227.32,236.6,201.17,52,42234,South,Price
389,1074,176.21,150.6,208.5,59,48708,South,Brand
390,4100,199.76,157.74,218.62,42,48102,West,Promotion
391,1655,145.5,205.23,142.2,58,54611,West,Brand
392,3748,133.69,235.56,203.87,43,40713,South,Price
393,4089,216.9,188.36,236.23,45,46996,East,Brand
394,1894,318.64,238.89,174.73,58,69652,South,Brand
395,1286,182.93,185.22,181.85,50,42931,South,Promotion
396,535,197.88,191.68,199.83,42,50187,South,Brand
397,3448,230.17,182.37,181.95,19,36939,West,Promotion
398,1380,252.69,194.18,161.07,53,46635,East,Brand
399,646,255.23,195.88,215.37,58,44886,East,Brand
400,24,226.68,198.07,254.55,38,42720,East,Promotion
401,4653,191.23,178.57,187.98,18,32121,North,Promotion
402,4452,233.98,188.51,197.97,45,38374,West,Brand
403,4966,219.55,210.42,149.25,48,19776,East,Promotion
404,4671,196.97,150.87,184.98,59,56963,North,Brand
405,4125,245.63,204.74,200.19,64,56634,West,Promotion
406,365,221.35,151.83,166.73,40,30960,East,Promotion
407,2656,165.01,210.73,257.03,25,51711,East,Price
408,409,146.74,187.85,143.3,54,55834,South,Price
409,1315,120.46,196.34,243.9,61,82549,East,Promotion
410,219,152.9,231.04,211.16,23,51376,North,Price
411,4704,201.54,217.22,184.95,34,67699,South,Promotion
412,1540,251.25,243.03,180.23,62,26853,East,Promotion
413,3434,194.18,174.62,145.13,27,64337,South,Brand
414,4954,214.76,189.74,164.27,30,37407,North,Promotion
415,1603,230.07,172.22,197.36,51,47046,East,Promotion
416,2705,139.21,168.05,241.75,38,42102,South,Price
417,3649,178.39,216.71,236.14,45,18843,North,Brand
418,1106,141.84,215.72,207.28,22,56302,North,Brand
419,3412,183.16,199.19,173.34,35,37445,West,Price
420,2489,213.26,164.65,186.14,51,22301,East,Price
421,617,203.92,206.72,142.26,55,26765,North,Price
422,4322,158.84,200.92,232.25,58,33091,North,Promotion
423,2419,227.28,206.87,244.76,40,60337,East,Promotion
424,28,213.15,194.88,160.17,61,36802,West,Brand
425,3056,221.43,158.19,239.37,22,57749,South,Price
426,16,207.78,191.09,222.71,20,42413,North,Brand
427,3349,162.43,181.54,253.18,52,55118,North,Brand
428,333,139.33,176.96,168.53,34,35559,East,Price
429,4579,219.43,216.27,229.28,35,68745,North,Price
430,4662,221.2,217.06,210.74,42,42959,South,Brand
431,2162,203.84,247.36,256.25,46,49455,North,Price
432,2086,305.22,213.47,223.11,25,44001,South,Price
433,4550,177.07,179.77,197.41,46,77296,South,Brand
434,3954,217.17,203.37,222.88,37,54486,North,Price
435,2790,205.6,213.46,259.63,30,30864,North,Price
436,4262,198.33,191.04,235.22,48,48837,West,Promotion
437,2253,146.77,213.8,253.15,21,49227,South,Price
438,4974,186.51,231.86,255.6,48,36862,South,Brand
439,245,248.17,213.08,236.78,49,68089,South,Price
440,1895,229.49,167.04,165.75,29,46760,North,Brand
441,1357,242.62,182.37,237.16,40,35736,West,Brand
442,943,169.58,246.32,149.68,47,61743,North,Brand
443,3468,246.26,186.18,186.09,42,30192,South,Price
444,3193,145.26,233.02,257.36,32,50563,North,Promotion
445,1746,190.2,164.03,201.12,63,42536,East,Brand
446,4506,149.07,248.51,203.67,21,44333,West,Price
447,2358,288.69,171.14,227.3,20,29884,West,Brand
448,3880,208.07,246.14,175.74,61,51553,North,Promotion
449,3778,247.32,154.97,145.39,53,45011,West,Brand
450,2116,220.09,207.67,165.21,33,47242,West,Price
451,2268,226.67,167.87,234.3,32,18711,East,Promotion
452,2268,147.78,214.54,183.82,32,18711,East,Promotion
453,1497,196.82,239.92,154.99,40,35216,North,Brand
454,2797,145.94,179.82,216.05,34,52481,North,Brand
455,4482,176.64,190.25,202.49,58,81824,South,Price
456,930,201.21,154.66,193.71,54,54002,North,Price
457,3325,153.09,207.57,167.78,19,25491,North,Promotion
458,4501,134.99,210.33,229.66,23,54218,North,Brand
459,4588,138.77,211.8,207.08,20,35326,East,Price
460,357,230.78,241.39,257.98,48,48599,West,Brand
461,4311,183.29,159.26,243.51,34,49473,South,Brand
462,4065,134.59,197.12,168.53,55,49519,North,Price
463,3842,195.94,179.65,203.86,50,37731,North,Price
464,3931,234.5,174.35,203.5,55,55736,South,Promotion
465,4848,192.62,183.61,157.68,26,32687,West,Brand
466,827,127.09,243.86,237.48,33,48448,East,Brand
467,666,189.17,175.19,180.33,53,32070,South,Price
468,2029,157.62,158.47,156.99,37,54364,North,Promotion
469,3692,210.15,191.11,168.99,36,30716,South,Price
470,2583,179.02,176.68,256.69,28,40922,West,Promotion
471,554,208.19,179.07,207.64,40,71545,East,Brand
472,328,111.08,195.29,142.49,50,35265,South,Brand
473,1189,200.82,231.53,203.28,44,44104,West,Price
474,150,183.84,233.52,257.34,21,42302,South,Price
475,4753,152.74,198.34,150.96,51,40748,North,Promotion
476,2854,200.14,233.8,185.61,53,61626,North,Brand
477,1937,181.4,166.58,187.9,20,46615,South,Brand
478,4389,193.49,176.66,158.13,48,60127,West,Promotion
479,2737,147.52,165.99,191.2,30,37240,West,Price
480,957,204.29,242.11,153.02,19,55600,West,Brand
481,3249,104.23,225.67,223.38,34,57963,South,Promotion
482,416,186.76,226.81,251.38,21,40817,East,Brand
483,3455,194.56,218.66,189.6,19,52151,West,Brand
484,2646,280.16,151.32,257.02,28,55631,East,Promotion
485,3775,182.56,171.15,206.77,49,60398,North,Promotion
486,85,275.42,237.28,144.11,64,58925,South,Brand
487,1936,252.45,198.16,160.01,58,51929,South,Price
488,1417,189.48,224.27,152.22,57,64366,North,Promotion
489,1071,196.34,171.73,224.64,20,22532,East,Brand
490,3413,141.6,156.55,227.75,35,58279,South,Price
491,1522,166.21,232.76,187.82,52,56295,North,Brand
492,1502,207.23,173.35,239.64,46,7180,North,Promotion
493,4092,179.67,172.03,245.29,58,73585,South,Price
494,2474,239.92,189.99,171.42,42,50235,North,Promotion
495,736,228.53,204.62,242.23,52,40788,West,Price
496,2839,210.45,212.73,236.61,51,44521,West,Brand
497,2563,229.9,242.5,189.11,55,29962,West,Price
498,3907,217.02,225.66,184.6,24,31607,South,Promotion
499,1273,199.35,202.67,257.26,49,58521,West,Brand
500,4837,161.32,164.41,189.49,47,61923,South,Price
